,fname,Class,duration
35,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1032.wav,Accordion,3.0
36,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1033.wav,Accordion,3.0
37,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1034.wav,Accordion,3.0
38,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1024.wav,Accordion,3.0
39,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1010.wav,Accordion,3.0
40,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1035.wav,Accordion,3.0
41,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1038.wav,Accordion,3.0
42,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1039.wav,Accordion,3.0
43,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\104.wav,Accordion,3.0
44,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1040.wav,Accordion,3.0
45,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1041.wav,Accordion,3.0
46,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1042.wav,Accordion,3.0
47,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1043.wav,Accordion,3.0
48,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1044.wav,Accordion,3.0
49,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1045.wav,Accordion,3.0
50,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1046.wav,Accordion,3.0
51,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1036.wav,Accordion,3.0
52,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1037.wav,Accordion,3.0
53,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1099.wav,Accordion,3.0
54,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1048.wav,Accordion,3.0
55,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\105.wav,Accordion,3.0
56,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1050.wav,Accordion,3.0
57,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1051.wav,Accordion,3.0
58,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1052.wav,Accordion,3.0
59,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1053.wav,Accordion,3.0
60,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1054.wav,Accordion,3.0
61,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1055.wav,Accordion,3.0
62,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1056.wav,Accordion,3.0
63,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1057.wav,Accordion,3.0
64,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1058.wav,Accordion,3.0
65,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1059.wav,Accordion,3.0
66,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\106.wav,Accordion,3.0
67,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1072.wav,Accordion,3.0
68,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1073.wav,Accordion,3.0
69,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1062.wav,Accordion,3.0
70,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1063.wav,Accordion,3.0
71,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1064.wav,Accordion,3.0
72,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1065.wav,Accordion,3.0
73,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1066.wav,Accordion,3.0
74,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1067.wav,Accordion,3.0
75,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1068.wav,Accordion,3.0
76,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1069.wav,Accordion,3.0
77,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\107.wav,Accordion,3.0
78,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1070.wav,Accordion,3.0
79,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1071.wav,Accordion,3.0
80,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1060.wav,Accordion,3.0
81,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1025.wav,Accordion,3.0
82,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1074.wav,Accordion,3.0
83,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1087.wav,Accordion,3.0
84,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1076.wav,Accordion,3.0
85,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1077.wav,Accordion,3.0
86,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1078.wav,Accordion,3.0
87,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1079.wav,Accordion,3.0
88,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\108.wav,Accordion,3.0
89,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1080.wav,Accordion,3.0
90,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1081.wav,Accordion,3.0
91,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1082.wav,Accordion,3.0
92,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1083.wav,Accordion,3.0
93,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1084.wav,Accordion,3.0
94,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1085.wav,Accordion,3.0
95,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1049.wav,Accordion,3.0
96,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1075.wav,Accordion,3.0
97,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1088.wav,Accordion,3.0
98,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1089.wav,Accordion,3.0
99,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\109.wav,Accordion,3.0
100,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1090.wav,Accordion,3.0
101,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1091.wav,Accordion,3.0
102,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1092.wav,Accordion,3.0
103,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1093.wav,Accordion,3.0
104,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1094.wav,Accordion,3.0
105,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1095.wav,Accordion,3.0
106,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1096.wav,Accordion,3.0
107,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1097.wav,Accordion,3.0
108,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1086.wav,Accordion,3.0
109,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1098.wav,Accordion,3.0
110,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\110.wav,Accordion,3.0
111,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\120.wav,Accordion,3.0
112,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1102.wav,Accordion,3.0
113,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1103.wav,Accordion,3.0
114,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1104.wav,Accordion,3.0
115,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1105.wav,Accordion,3.0
116,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1106.wav,Accordion,3.0
117,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1107.wav,Accordion,3.0
118,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1108.wav,Accordion,3.0
119,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1109.wav,Accordion,3.0
120,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\111.wav,Accordion,3.0
121,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1110.wav,Accordion,3.0
122,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1124.wav,Accordion,3.0
123,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1101.wav,Accordion,3.0
124,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1111.wav,Accordion,3.0
125,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1114.wav,Accordion,3.0
126,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1115.wav,Accordion,3.0
127,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1116.wav,Accordion,3.0
128,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1117.wav,Accordion,3.0
129,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1118.wav,Accordion,3.0
130,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1119.wav,Accordion,3.0
131,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\112.wav,Accordion,3.0
132,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1120.wav,Accordion,3.0
133,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1121.wav,Accordion,3.0
134,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1122.wav,Accordion,3.0
135,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1112.wav,Accordion,3.0
136,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1113.wav,Accordion,3.0
137,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1100.wav,Accordion,3.0
138,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1123.wav,Accordion,3.0
139,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1149.wav,Accordion,3.0
140,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1128.wav,Accordion,3.0
141,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1129.wav,Accordion,3.0
142,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\113.wav,Accordion,3.0
143,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1130.wav,Accordion,3.0
144,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1131.wav,Accordion,3.0
145,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1132.wav,Accordion,3.0
146,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1133.wav,Accordion,3.0
147,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1134.wav,Accordion,3.0
148,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1135.wav,Accordion,3.0
149,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1136.wav,Accordion,3.0
150,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1126.wav,Accordion,3.0
151,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1125.wav,Accordion,3.0
152,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1137.wav,Accordion,3.0
153,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\114.wav,Accordion,3.0
154,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1140.wav,Accordion,3.0
155,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1141.wav,Accordion,3.0
156,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1142.wav,Accordion,3.0
157,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1143.wav,Accordion,3.0
158,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1144.wav,Accordion,3.0
159,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1145.wav,Accordion,3.0
160,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1146.wav,Accordion,3.0
161,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1147.wav,Accordion,3.0
162,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1148.wav,Accordion,3.0
163,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1138.wav,Accordion,3.0
164,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1139.wav,Accordion,3.0
165,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1061.wav,Accordion,3.0
166,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\115.wav,Accordion,3.0
167,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1178.wav,Accordion,3.0
168,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1153.wav,Accordion,3.0
169,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1154.wav,Accordion,3.0
170,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1155.wav,Accordion,3.0
171,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1156.wav,Accordion,3.0
172,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1157.wav,Accordion,3.0
173,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1158.wav,Accordion,3.0
174,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1159.wav,Accordion,3.0
175,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\116.wav,Accordion,3.0
176,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1160.wav,Accordion,3.0
177,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1161.wav,Accordion,3.0
178,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1175.wav,Accordion,3.0
179,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1152.wav,Accordion,3.0
180,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1162.wav,Accordion,3.0
181,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1165.wav,Accordion,3.0
182,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1166.wav,Accordion,3.0
183,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1167.wav,Accordion,3.0
184,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1168.wav,Accordion,3.0
185,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1169.wav,Accordion,3.0
186,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\117.wav,Accordion,3.0
187,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1170.wav,Accordion,3.0
188,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1171.wav,Accordion,3.0
189,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1172.wav,Accordion,3.0
190,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1173.wav,Accordion,3.0
191,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1163.wav,Accordion,3.0
192,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1164.wav,Accordion,3.0
193,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1151.wav,Accordion,3.0
194,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1174.wav,Accordion,3.0
195,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1150.wav,Accordion,3.0
196,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1179.wav,Accordion,3.0
197,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\118.wav,Accordion,3.0
198,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1180.wav,Accordion,3.0
199,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1181.wav,Accordion,3.0
200,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1182.wav,Accordion,3.0
201,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1183.wav,Accordion,3.0
202,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1184.wav,Accordion,3.0
203,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1185.wav,Accordion,3.0
204,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1186.wav,Accordion,3.0
205,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1187.wav,Accordion,3.0
206,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1177.wav,Accordion,3.0
207,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1176.wav,Accordion,3.0
208,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1188.wav,Accordion,3.0
209,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1190.wav,Accordion,3.0
210,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1191.wav,Accordion,3.0
211,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1192.wav,Accordion,3.0
212,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1193.wav,Accordion,3.0
213,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1194.wav,Accordion,3.0
214,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1195.wav,Accordion,3.0
215,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1196.wav,Accordion,3.0
216,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1197.wav,Accordion,3.0
217,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1198.wav,Accordion,3.0
218,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1199.wav,Accordion,3.0
219,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1189.wav,Accordion,3.0
220,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\119.wav,Accordion,3.0
221,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1406.wav,Accordion,3.0
222,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1200.wav,Accordion,3.0
223,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1202.wav,Accordion,3.0
224,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1203.wav,Accordion,3.0
225,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1204.wav,Accordion,3.0
226,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1205.wav,Accordion,3.0
227,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1206.wav,Accordion,3.0
228,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1207.wav,Accordion,3.0
229,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1208.wav,Accordion,3.0
230,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1209.wav,Accordion,3.0
231,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\121.wav,Accordion,3.0
232,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1210.wav,Accordion,3.0
233,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1211.wav,Accordion,3.0
234,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1212.wav,Accordion,3.0
235,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1225.wav,Accordion,3.0
236,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1226.wav,Accordion,3.0
237,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1215.wav,Accordion,3.0
238,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1216.wav,Accordion,3.0
239,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1217.wav,Accordion,3.0
240,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1218.wav,Accordion,3.0
241,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1219.wav,Accordion,3.0
242,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\122.wav,Accordion,3.0
243,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1220.wav,Accordion,3.0
244,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1221.wav,Accordion,3.0
245,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1222.wav,Accordion,3.0
246,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1223.wav,Accordion,3.0
247,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1224.wav,Accordion,3.0
248,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1213.wav,Accordion,3.0
249,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1214.wav,Accordion,3.0
250,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1227.wav,Accordion,3.0
251,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\124.wav,Accordion,3.0
252,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1229.wav,Accordion,3.0
253,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\123.wav,Accordion,3.0
254,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1230.wav,Accordion,3.0
255,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1231.wav,Accordion,3.0
256,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1232.wav,Accordion,3.0
257,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1233.wav,Accordion,3.0
258,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1234.wav,Accordion,3.0
259,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1235.wav,Accordion,3.0
260,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1236.wav,Accordion,3.0
261,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1237.wav,Accordion,3.0
262,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1238.wav,Accordion,3.0
263,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1251.wav,Accordion,3.0
264,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1228.wav,Accordion,3.0
265,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1240.wav,Accordion,3.0
266,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1241.wav,Accordion,3.0
267,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1242.wav,Accordion,3.0
268,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1243.wav,Accordion,3.0
269,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1244.wav,Accordion,3.0
270,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1245.wav,Accordion,3.0
271,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1246.wav,Accordion,3.0
272,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1247.wav,Accordion,3.0
273,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1248.wav,Accordion,3.0
274,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\125.wav,Accordion,3.0
275,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1250.wav,Accordion,3.0
276,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1239.wav,Accordion,3.0
277,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1302.wav,Accordion,3.0
278,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1303.wav,Accordion,3.0
279,H:\DSP_project\ignoredir\dataset\archive\music_dataset\Accordion\1254.wav,Accordion,3.0
